employee_id,business_domain_id,domain_name,proficiency,experience_value,etl_date,ingest_ts,ingest_ts_offset
0eae3b5d-92d1-42fe-85bf-a5f6007faedb,c47a2054-cd5d-4dcb-a3c2-ba10112c8cc9,Investment bank / global markets,3,1.0,2026-05-04 11:32:00.077000,2026-05-05 11:46:56.465785,UTC-4
febb72aa-9593-49f4-982e-829718e3bd64,91832af1-28f5-4b5b-a2f0-5e8204d26467,Financial industry technology,4,0.5,2026-05-04 11:32:00.077000,2026-05-05 11:46:56.465785,UTC-4
93c8d9b1-cb3b-4637-bafb-94fcf9c2e020,e7f5f5c5-d866-4cd0-9576-969f44ab3611,Hedge fund,4,4.0,2026-05-04 11:32:00.077000,2026-05-05 11:46:56.465785,UTC-4
658ddbb2-62bb-44fd-b5b2-a686009d7ecb,c385417d-973b-41b5-b07f-030e603aae0b,Retail bank,4,5.0,2026-05-04 11:32:00.077000,2026-05-05 11:46:56.465785,UTC-4
89b9692e-145a-4f58-b0eb-9deb00e71879,c47a2054-cd5d-4dcb-a3c2-ba10112c8cc9,Investment bank / global markets,3,3.0,2026-05-04 11:32:00.077000,2026-05-05 11:46:56.465785,UTC-4
a8b11cab-7ba6-4298-ad1d-64f71a468020,5dd3d820-118b-4e94-9ad7-c036d5784c05,Healthcare,4,5.0,2026-05-04 11:32:00.077000,2026-05-05 11:46:56.465785,UTC-4
658ddbb2-62bb-44fd-b5b2-a686009d7ecb,d9de6682-85f3-408a-942e-9acc4ca577ce,Consulting and financial services,4,1.0,2026-05-04 11:32:00.077000,2026-05-05 11:46:56.465785,UTC-4
882ab4d5-3e49-44ad-b648-a78300844059,3db8d320-8a86-401c-8d2a-9b8171fdd44a,Security IT,4,4.0,2026-05-04 11:32:00.077000,2026-05-05 11:46:56.465785,UTC-4
a6a1d1de-c6be-4df4-8d93-a86400c0cd00,c47a2054-cd5d-4dcb-a3c2-ba10112c8cc9,Investment bank / global markets,3,5.0,2026-05-04 11:32:00.077000,2026-05-05 11:46:56.465785,UTC-4
548dc5bb-e936-4fab-97c4-a8bf00a0b0e7,c47a2054-cd5d-4dcb-a3c2-ba10112c8cc9,Investment bank / global markets,3,1.0,2026-05-04 11:32:00.077000,2026-05-05 11:46:56.465785,UTC-4
9497f31e-5cf6-40f9-9da8-a811006ac612,28390c8e-564a-4ad6-a51b-6737f4701ec0,Commercial bank,4,4.0,2026-05-04 11:32:00.077000,2026-05-05 11:46:56.465785,UTC-4
29944176-d722-457d-ba40-9dfe01271197,97ae2b6c-ba62-4911-b4a6-46519d53b01b,Finance IT,1,3.0,2026-05-04 11:32:00.077000,2026-05-05 11:46:56.465785,UTC-4
6aaf018f-88ac-4fe5-a7a6-a30a0126123f,c47a2054-cd5d-4dcb-a3c2-ba10112c8cc9,Investment bank / global markets,4,3.0,2026-05-04 11:32:00.077000,2026-05-05 11:46:56.465785,UTC-4
f7a87855-9ce5-4420-ac1e-9ea100ff4c28,89331b1a-46a4-44b3-b51e-66f5f1bd43b1,Market data and reference data provider,4,0.5,2026-05-04 11:32:00.077000,2026-05-05 11:46:56.465785,UTC-4
da619438-f5d8-46fd-8ca4-aaa73c45f32f,97ae2b6c-ba62-4911-b4a6-46519d53b01b,Finance IT,2,0.5,2026-05-04 11:32:00.077000,2026-05-05 11:46:56.465785,UTC-4
4b7b5afb-e7ba-49c3-b344-c672fc88d9ad,89331b1a-46a4-44b3-b51e-66f5f1bd43b1,Market data and reference data provider,5,1.0,2026-05-04 11:32:00.077000,2026-05-05 11:46:56.465785,UTC-4
